"title","audience_score","critic_score","genre"
"Beetlejuice Beetlejuice","74%","95%","action"
"Rebel Ridge","91%","95%","action"
"His Three Daughters","91%","75%","action"
"Slow Horses: Season 4","86%","82%","action"
"Rebel Ridge","89%","90%","action"
"Hit Man","83%","98%","action"
"The Fall Guy","78%","80%","action"
"Furiosa: A Mad Max Saga","84%","89%","action"
"Civil War","90%","87%","action"
"Kingdom of the Planet of the Apes","61%","85%","action"
"Monkey Man","86%","73%","action"
"The Crow","91%","91%","action"
"The Killer","95%","92%","action"
"Love Lies Bleeding","90%","91%","action"
"Marvel's the Avengers","56%","77%","action"
"Dune: Part Two","90%","94%","action"
"The Batman","94%","94%","action"
"Edge of Tomorrow","98%","98%","action"
"Avengers: Endgame","98%","93%","action"
"Godzilla Minus One","90%","85%","action"
"Bone Tomahawk","97%","100%","action"
"Spider-Man: No Way Home","94%","96%","action"
"Seven Samurai","99%","96%","action"
"Mission: Impossible - Dead Reckoning Part One","94%","82%","action"
"The Dark Knight","86%","97%","action"
"The Iron Claw","94%","95%","action"
"Top Gun: Maverick","92%","85%","action"
"Guardians of the Galaxy Vol. 3","98%","91%","action"
"Mad Max: Fury Road","88%","88%","action"
"Spider-Man: Across the Spider-Verse","91%","94%","action"
"Avengers: Infinity War","89%","100%","action"
"Shang-Chi and the Legend of the Ten Rings","93%","91%","action"
"Iron Man","93%","94%","action"
"The Terminator","85%","92%","action"
"Dungeons & Dragons: Honor Among Thieves","91%","78%","action"
"John Wick: Chapter 4","87%","80%","action"
"Blue Beetle","86%","84%","action"
"Guy Ritchie's The Covenant","91%","79%","action"
"Star Wars: The Last Jedi","94%","84%","action"
"Deadpool 2","85%","83%","action"
"Black Widow","92%","76%","action"
"Kingsman: The Secret Service","86%","92%","action"
"Black Panther: Wakanda Forever","88%","94%","action"
"The Matrix","90%","83%","action"
"Avatar: The Way of Water","45%","79%","action"
"Baby Driver","87%","92%","action"
"Captain Marvel","91%","87%","action"
"Spider-Man: Homecoming","84%","94%","action"
"Avengers: Age of Ultron","89%","90%","action"
"War for the Planet of the Apes","89%","95%","action"
"Terminator 2: Judgment Day","75%","80%","action"
"Captain America: Civil War","60%","83%","action"
"Spider-Man: Into the Spider-Verse","95%","91%","action"
"Train to Busan","87%","93%","action"
"Captain America: The First Avenger","92%","90%","action"
"The Convert","64%","90%","action"
"Spider-Man: Far From Home","84%","77%","action"
"Thor: Ragnarok","91%","90%","action"
"Captain America: The Winter Soldier","66%","81%","action"
"The Northman","82%","90%","action"
"X-Men: Days of Future Past","92%","92%","action"
"The Suicide Squad","63%","78%","action"
"Guardians of the Galaxy","67%","82%","action"
"Free Guy","92%","87%","action"
"The Equalizer 3","78%","79%","action"
"Django Unchained","77%","82%","action"
"Black Panther","71%","72%","action"
"Iron Man 3","79%","93%","action"
"Rise of the Planet of the Apes","99%","94%","action"
"Iron Man 2","87%","80%","action"
"Tropic Thunder","84%","93%","action"
"The Woman King","88%","97%","action"
"Star Wars: The Force Awakens","77%","72%","action"
"Hell or High Water","94%","95%","action"
"All Quiet on the Western Front","87%","95%","action"
"No Time to Die","86%","80%","action"
"Ready Player One","75%","85%","action"
"Midnight Run","88%","91%","action"
"Pirates of the Caribbean: The Curse of the Black Pearl","81%","86%","action"
"Jurassic Park","87%","76%","action"
"Dawn of the Planet of the Apes","90%","87%","action"
"John Wick","82%","93%","action"
"Star Wars: Episode III - Revenge of the Sith","72%","72%","action"
"Jumanji: Welcome to the Jungle","95%","75%","action"
"The Dark Knight Rises","82%","92%","action"
"The Professional","76%","77%","action"
"Source Code","81%","85%","action"
"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)","87%","84%","action"
"Batman Begins","90%","94%","action"
"Kill Bill: Vol. 1","91%","76%","action"
"Rogue One: A Star Wars Story","83%","85%","action"
"Casino Royale","89%","93%","action"
"Bad Boys for Life","74%","90%","action"
"Godzilla vs. Kong","86%","89%","action"
"21 Jump Street","82%","81%","action"
"Captain Phillips","75%","90%","action"
"Brawl in Cell Block 99","61%","80%","action"
"Doctor Strange","73%","82%","action"
"The Grey","87%","85%","action"
"Batman Returns","83%","79%","action"
"Ultraman: Rising","89%","91%","action"
"Spider-Man 2","89%","91%","action"
"Guardians of the Galaxy Vol. 2","87%","86%","action"
"The Lost City","67%","90%","action"
"Hot Fuzz","77%","71%","action"
"Kung Fu Hustle","88%","97%","action"
"X-Men: First Class","81%","84%","action"
"Spider-Man","97%","95%","action"
"The Amazing Spider-Man",NA,NA,"action"
"Mission: Impossible - Fallout",NA,NA,"action"
"The Hunger Games",NA,NA,"action"
"Star Wars: Episode V - The Empire Strikes Back",NA,NA,"action"
"Beetlejuice Beetlejuice","60%","85%","horror"
"Rebel Ridge","77%","96%","horror"
"His Three Daughters","73%","86%","horror"
"Slow Horses: Season 4","68%","94%","horror"
"A Quiet Place: Day One","78%","73%","horror"
"New Life","85%","83%","horror"
"Late Night with the Devil","55%","84%","horror"
"I Saw the TV Glow","83%","93%","horror"
"Speak No Evil","66%","95%","horror"
"It Follows","77%","80%","horror"
"His House","56%","77%","horror"
"The First Omen","76%","94%","horror"
"Talk to Me","94%","94%","horror"
"The Babadook","90%","98%","horror"
"Bone Tomahawk","86%","98%","horror"
